Party,Party Votes Percentage,Electorate,Election Year
ONE Party,0.11,Northcote,2020
Social Credit,0.02,Northcote,2020
Sustainable New Zealand Party,0.13,Northcote,2020
TEA Party,0.22,Northcote,2020
The Opportunities Party (TOP),1.85,Northcote,2020
Vision New Zealand,0.03,Northcote,2020
ACT New Zealand,8.57,Pakuranga,2020
Advance NZ,0.52,Pakuranga,2020
Aotearoa Legalise Cannabis Party,0.18,Pakuranga,2020
Green Party,4.64,Pakuranga,2020
HeartlandNZ,0.01,Pakuranga,2020
Labour Party,42.05,Pakuranga,2020
Maori Party,0.2,Pakuranga,2020
National Party,38.53,Pakuranga,2020
New Conservative,1.33,Pakuranga,2020
New Zealand First Party,2.16,Pakuranga,2020
NZ Outdoors Party,0.03,Pakuranga,2020
ONE Party,0.22,Pakuranga,2020
Social Credit,0.01,Pakuranga,2020
Sustainable New Zealand Party,0.09,Pakuranga,2020
TEA Party,0.47,Pakuranga,2020
The Opportunities Party (TOP),0.93,Pakuranga,2020
Vision New Zealand,0.07,Pakuranga,2020
ACT New Zealand,2.39,Panmure-Otahuhu,2020
Advance NZ,0.83,Panmure-Otahuhu,2020
Aotearoa Legalise Cannabis Party,0.44,Panmure-Otahuhu,2020
Green Party,4.12,Panmure-Otahuhu,2020
HeartlandNZ,0.01,Panmure-Otahuhu,2020
Labour Party,73.66,Panmure-Otahuhu,2020
Maori Party,0.65,Panmure-Otahuhu,2020
National Party,12.75,Panmure-Otahuhu,2020
New Conservative,1.23,Panmure-Otahuhu,2020
New Zealand First Party,2.48,Panmure-Otahuhu,2020
NZ Outdoors Party,0.11,Panmure-Otahuhu,2020
ONE Party,0.14,Panmure-Otahuhu,2020
Social Credit,0.01,Panmure-Otahuhu,2020
Sustainable New Zealand Party,0.03,Panmure-Otahuhu,2020
TEA Party,0.12,Panmure-Otahuhu,2020
The Opportunities Party (TOP),0.75,Panmure-Otahuhu,2020
Vision New Zealand,0.28,Panmure-Otahuhu,2020
ACT New Zealand,8.81,Papakura,2020
Advance NZ,0.69,Papakura,2020
Aotearoa Legalise Cannabis Party,0.37,Papakura,2020
Green Party,4.04,Papakura,2020
HeartlandNZ,0.06,Papakura,2020
Labour Party,42.74,Papakura,2020
Maori Party,0.32,Papakura,2020
National Party,37.11,Papakura,2020
New Conservative,1.58,Papakura,2020
New Zealand First Party,2.78,Papakura,2020
NZ Outdoors Party,0.09,Papakura,2020
ONE Party,0.14,Papakura,2020
Social Credit,0.03,Papakura,2020
Sustainable New Zealand Party,0.06,Papakura,2020
TEA Party,0.09,Papakura,2020
The Opportunities Party (TOP),0.82,Papakura,2020
Vision New Zealand,0.27,Papakura,2020
ACT New Zealand,10.71,Port Waikato,2020
Advance NZ,0.87,Port Waikato,2020
Aotearoa Legalise Cannabis Party,0.36,Port Waikato,2020
Green Party,3.35,Port Waikato,2020
HeartlandNZ,1.42,Port Waikato,2020
Labour Party,40.38,Port Waikato,2020
Maori Party,0.32,Port Waikato,2020
National Party,36.4,Port Waikato,2020
New Conservative,1.69,Port Waikato,2020
New Zealand First Party,2.94,Port Waikato,2020
NZ Outdoors Party,0.12,Port Waikato,2020
ONE Party,0.33,Port Waikato,2020
Social Credit,0.02,Port Waikato,2020
Sustainable New Zealand Party,0.06,Port Waikato,2020
TEA Party,0.04,Port Waikato,2020
The Opportunities Party (TOP),0.92,Port Waikato,2020
Vision New Zealand,0.05,Port Waikato,2020
ACT New Zealand,4.64,Takanini,2020
Advance NZ,0.61,Takanini,2020
Aotearoa Legalise Cannabis Party,0.27,Takanini,2020
Green Party,3.31,Takanini,2020
HeartlandNZ,0.01,Takanini,2020
Labour Party,55.0,Takanini,2020
Maori Party,0.44,Takanini,2020
National Party,30.08,Takanini,2020
New Conservative,1.7,Takanini,2020
New Zealand First Party,1.98,Takanini,2020
NZ Outdoors Party,0.04,Takanini,2020
ONE Party,0.19,Takanini,2020
Social Credit,0.01,Takanini,2020
Sustainable New Zealand Party,0.04,Takanini,2020
TEA Party,0.58,Takanini,2020
The Opportunities Party (TOP),0.6,Takanini,2020
Vision New Zealand,0.5,Takanini,2020
ACT New Zealand,11.73,Tamaki,2020
Advance NZ,0.43,Tamaki,2020
Aotearoa Legalise Cannabis Party,0.14,Tamaki,2020
Green Party,7.68,Tamaki,2020
HeartlandNZ,0.01,Tamaki,2020
Labour Party,38.61,Tamaki,2020
Maori Party,0.3,Tamaki,2020
National Party,37.06,Tamaki,2020
New Conservative,0.69,Tamaki,2020
New Zealand First Party,1.62,Tamaki,2020
NZ Outdoors Party,0.04,Tamaki,2020
ONE Party,0.07,Tamaki,2020
Social Credit,0.01,Tamaki,2020
Sustainable New Zealand Party,0.08,Tamaki,2020
TEA Party,0.15,Tamaki,2020
The Opportunities Party (TOP),1.34,Tamaki,2020
Vision New Zealand,0.04,Tamaki,2020
ACT New Zealand,5.13,Te Atatu,2020
Advance NZ,0.76,Te Atatu,2020
Aotearoa Legalise Cannabis Party,0.34,Te Atatu,2020
Green Party,6.51,Te Atatu,2020
HeartlandNZ,0.01,Te Atatu,2020
Labour Party,58.05,Te Atatu,2020
Maori Party,0.67,Te Atatu,2020
National Party,22.72,Te Atatu,2020
New Conservative,1.41,Te Atatu,2020
New Zealand First Party,2.54,Te Atatu,2020
NZ Outdoors Party,0.06,Te Atatu,2020
ONE Party,0.29,Te Atatu,2020
Social Credit,0.03,Te Atatu,2020
Sustainable New Zealand Party,0.08,Te Atatu,2020
TEA Party,0.3,Te Atatu,2020
The Opportunities Party (TOP),1.06,Te Atatu,2020
Vision New Zealand,0.06,Te Atatu,2020
ACT New Zealand,7.59,Upper Harbour,2020
Advance NZ,0.63,Upper Harbour,2020
Aotearoa Legalise Cannabis Party,0.39,Upper Harbour,2020
Green Party,5.33,Upper Harbour,2020
HeartlandNZ,0.01,Upper Harbour,2020
Labour Party,48.31,Upper Harbour,2020
Maori Party,0.36,Upper Harbour,2020
National Party,31.39,Upper Harbour,2020
New Conservative,1.86,Upper Harbour,2020
New Zealand First Party,1.97,Upper Harbour,2020
NZ Outdoors Party,0.05,Upper Harbour,2020
ONE Party,0.2,Upper Harbour,2020
Social Credit,0.01,Upper Harbour,2020
Sustainable New Zealand Party,0.11,Upper Harbour,2020
TEA Party,0.34,Upper Harbour,2020
The Opportunities Party (TOP),1.38,Upper Harbour,2020
Vision New Zealand,0.05,Upper Harbour,2020
ACT New Zealand,10.61,Whangaparaoa,2020
Advance NZ,1.15,Whangaparaoa,2020
Aotearoa Legalise Cannabis Party,0.27,Whangaparaoa,2020
Green Party,4.89,Whangaparaoa,2020
HeartlandNZ,0.01,Whangaparaoa,2020
Labour Party,40.04,Whangaparaoa,2020
Maori Party,0.2,Whangaparaoa,2020
National Party,36.7,Whangaparaoa,2020
New Conservative,2.26,Whangaparaoa,2020
New Zealand First Party,2.15,Whangaparaoa,2020
NZ Outdoors Party,0.11,Whangaparaoa,2020
ONE Party,0.12,Whangaparaoa,2020
Social Credit,0.02,Whangaparaoa,2020
Sustainable New Zealand Party,0.14,Whangaparaoa,2020
TEA Party,0.09,Whangaparaoa,2020
The Opportunities Party (TOP),1.22,Whangaparaoa,2020
Vision New Zealand,0.02,Whangaparaoa,2020
